target_dim,lmr_edges,lr,ijk,kendall,residual variance,globalh0,globalh1
2,2,0.1,0.03190000000000004,-0.9229100751142951,0.016756504392216987,128.51463163270074,40.508522297124074
2,3,0.1,0.03290000000000004,-0.9218706408114764,0.016900799821685575,126.53539484868016,37.03383021482158
2,5,0.1,0.03590000000000004,-0.915661702379007,0.01921834433063596,124.6033000933709,39.82313583016817
2,10,0.1,0.05830000000000002,-0.8881276989457825,0.03142661674986902,101.74236950626893,40.01104636186701
2,2,1.0,0.035599999999999965,-0.9220085668379998,0.017000953352915404,129.3228027155151,38.71817822367307
2,3,1.0,0.037900000000000045,-0.9191065156931493,0.017571901143171753,126.60248828391515,39.46576080243347
2,5,1.0,0.04279999999999995,-0.9054553047325773,0.022410244995463624,124.2922516274093,38.38599217224986
2,10,1.0,0.07189999999999996,-0.863356601144215,0.047484604876891434,107.02380501807514,40.48125198049027
2,2,2.0,0.03610000000000002,-0.918783576396204,0.017919328330233242,127.34853947067182,39.43201330295238
2,3,2.0,0.03410000000000002,-0.9155852589445059,0.018179529463800526,126.08004915549665,39.53303287075934
2,5,2.0,0.0373,-0.9048927581190088,0.022655210178537777,125.9784420939322,38.8184064620292
2,10,2.0,0.08360000000000001,-0.8455729593907365,0.06115309915601985,105.25701864789296,40.35031876491671
